gender,medal,type,year,country,abb
Women,Gold,Athletics,1980,Poland,POL
Women,Gold,Athletics,1980,Sweden,SWE
Men,Gold,Athletics,1980,Mexico,MEX
Men,Gold,Athletics,1980,Mexico,MEX
Men,Gold,Athletics,1980,Mexico,MEX
Men,Gold,Athletics,1980,Mexico,MEX
Men,Gold,Athletics,1980,United States of America,USA
Men,Gold,Athletics,1980,FR Germany,FRG
Men,Gold,Athletics,1980,FR Germany,FRG
Men,Gold,Athletics,1980,United States of America,USA
Men,Gold,Athletics,1980,United States of America,USA
Men,Gold,Athletics,1980,United States of America,USA
Men,Gold,Athletics,1980,United States of America,USA
Men,Gold,Athletics,1980,FR Germany,FRG
Men,Gold,Athletics,1980,Belgium,BEL
Men,Gold,Athletics,1980,Belgium,BEL
Men,Gold,Athletics,1980,Belgium,BEL
Men,Gold,Athletics,1980,Belgium,BEL
Men,Gold,Athletics,1980,United States of America,USA
Men,Gold,Athletics,1980,FR Germany,FRG
Women,Gold,Athletics,1980,United States of America,USA
Women,Gold,Athletics,1980,United States of America,USA
Women,Gold,Athletics,1980,Mexico,MEX
Women,Gold,Athletics,1980,Mexico,MEX
Women,Gold,Athletics,1980,Mexico,MEX
Women,Gold,Athletics,1980,Mexico,MEX
Men,Gold,Athletics,1984,Canada,CAN
Men,Gold,Athletics,1984,Denmark,DEN
Men,Gold,Athletics,1984,Sweden,SWE
Men,Gold,Athletics,1984,Great Britain,GBR
Men,Gold,Athletics,1984,Great Britain,GBR
Men,Gold,Athletics,1984,United States of America,USA
Men,Gold,Athletics,1984,Sweden,SWE
Men,Gold,Athletics,1984,Mexico,MEX
Men,Gold,Athletics,1984,United States of America,USA
Men,Gold,Athletics,1984,Poland,POL
Men,Gold,Athletics,1984,FR Germany,FRG
Men,Gold,Athletics,1984,Finland,FIN
Men,Gold,Athletics,1984,United States of America,USA
Men,Gold,Athletics,1984,Australia,AUS
Men,Gold,Athletics,1984,United States of America,USA
Men,Gold,Athletics,1984,Canada,CAN
Men,Gold,Athletics,1984,United States of America,USA
