gender,event,medal,type,year,country,abb,athlete
Men,High Jump C,Gold,Athletics,1980,FR Germany,FRG,JOHANN Jurgen
Men,High Jump D,Gold,Athletics,1980,Canada,CAN,BOLDT Arnold
Men,High Jump E,Gold,Athletics,1980,Poland,POL,KRAUZ Jan
Men,High Jump F,Gold,Athletics,1980,Austria,AUT,KOLM Gerhard
Men,Long Jump A,Gold,Athletics,1980,Norway,NOR,JOHNSEN Jarle
Men,Long Jump B,Gold,Athletics,1980,Poland,POL,PAWLIK Andrzej
Men,Long Jump C,Gold,Athletics,1980,Austria,AUT,JORG George
Men,Long Jump CP C,Gold,Athletics,1980,Belgium,BEL,HERMANS Alex
Men,Long Jump CP D,Gold,Athletics,1980,France,FRA,PIERRE B.
Men,Long Jump D,Gold,Athletics,1980,Canada,CAN,BOLDT Arnold
Men,Long Jump E,Gold,Athletics,1980,Poland,POL,KRAUZ Jan
Men,Long Jump E1,Gold,Athletics,1980,Norway,NOR,PEDERSEN Cato Zahl
Men,Long Jump F,Gold,Athletics,1980,Poland,POL,WIERZBICKI Marian
Men,Long Jump F1,Gold,Athletics,1980,FR Germany,FRG,BERG Matthias
Men,Triple Jump A,Gold,Athletics,1980,Netherlands,NED,DIPOWIDJOJO Soedjeman
Men,Triple Jump B,Gold,Athletics,1980,Poland,POL,PAWLIK Andrzej
Men,Shot Put 1A,Gold,Athletics,1980,Australia,AUS,PATCHETT Wayne
Men,Shot Put 1B,Gold,Athletics,1980,Sudan,SUD,ISAM Mohamad Ahmed
Men,Shot Put 1C,Gold,Athletics,1980,FR Germany,FRG,SPIESS Guenter
Men,Shot Put A,Gold,Athletics,1980,United States of America,USA,NEPPL James
Men,Shot Put B,Gold,Athletics,1980,Sweden,SWE,KARLSSON Gosta
Men,Shot Put C,Gold,Athletics,1980,FR Germany,FRG,JOSEFIAK Hans
Men,Shot Put C1,Gold,Athletics,1980,Poland,POL,MAMINSKI Mieczyslaw
Men,Shot Put CP C,Gold,Athletics,1980,Belgium,BEL,HERMANS Alex
Men,Shot Put CP D,Gold,Athletics,1980,United States of America,USA,BECKE Tom
Men,Shot Put D,Gold,Athletics,1980,Poland,POL,POPLAWSKI Andrzej
Men,Shot Put D1,Gold,Athletics,1980,United States of America,USA,JEROME John
Men,Shot Put E,Gold,Athletics,1980,FR Germany,FRG,BEEZ Alois
Men,Shot Put F,Gold,Athletics,1980,Belgium,BEL,BRAET Achiel
Men,Shot Put J,Gold,Athletics,1980,Poland,POL,PALUCH Stanislaw
Men,Shot Put 2,Gold,Athletics,1980,Australia,AUS,TODD Murray
Men,Shot Put 3,Gold,Athletics,1980,Australia,AUS,RUSSELL Eric
Men,Shot Put 4,Gold,Athletics,1980,Canada,CAN,LYONS D.
Men,Shot Put 5,Gold,Athletics,1980,Sweden,SWE,CLARK Raymond
Men,Discus Throw 1A,Gold,Athletics,1980,Australia,AUS,PATCHETT Wayne
Men,Discus Throw 1B,Gold,Athletics,1980,United States of America,USA,DUVAL Julius
Men,Discus Throw 1C,Gold,Athletics,1980,Mexico,MEX,SANDOVAL Pedro
Men,Discus Throw A,Gold,Athletics,1980,Finland,FIN,KUJALA Pekka
Men,Discus Throw B,Gold,Athletics,1980,Poland,POL,GODLEWSKI Andrzej
Men,Discus Throw C,Gold,Athletics,1980,FR Germany,FRG,JOSEFIAK Hans
