year,country,longitude,latitude,value
1992,New Zealand,174.885971,-40.900557,G
1992,Japan,138.252924,36.204824,B
1992,Austria,14.550072,47.516231,B
1992,United States of America,-95.712891,37.09024,G
1992,Belgium,4.469936,50.503887,S
1992,Great Britain,-3.435973,55.378051,S
1992,Sweden,18.643501,60.128161,S
1992,Switzerland,8.227512,46.818188,S
1992,Italy,12.56738,41.87194,B
1992,-,123.0,48.0,G
1992,Germany,10.451526,51.165691,G
1992,Poland,19.145136,51.919438,S
1992,Czech Republic,15.472962,49.817492,B
1992,Slovakia,19.699024,48.669026,O
1992,China,104.195397,35.86166,G
1992,Mongolia,103.846656,46.862496,O
1992,Turkey,35.243322,38.963745,O
1992,Russia,105.318756,61.52401,O
1992,Iran,53.688046,32.427908,G
1992,Australia,133.775136,-25.274398,S
1992,Egypt,30.802498,26.820553,G
1992,Netherlands,5.291266,52.132633,B
1992,Sudan,30.217636,12.862807,O
1992,Jamaica,-77.297508,18.109581,B
1992,Kuwait,47.481766,29.31166,S
1992,Kenya,37.906193,-0.023559,G
1992,Israel,34.851612,31.046051,B
1992,Ireland,-8.24389,53.41291,B
1992,Portugal,-8.224454,39.399872,B
1992,Yugoslavia,21.005859,44.016521,O
1992,Burma,95.956223,21.913965,O
1992,Hungary,19.503304,47.162494,S
1992,Brazil,-51.92528,-14.235004,B
1992,Spain,-3.74922,40.463667,B
1992,Hong Kong,114.109497,22.396428,B
1992,Trinidad and Tobago,-61.222503,10.691803,O
1992,USSR,105.318756,61.52401,O
1992,Iceland,-19.020835,64.963051,B
1992,Bahrain,50.637772,25.930414,B
1992,Bulgaria,25.48583,42.733883,S
1992,Puerto Rico,-66.590149,18.220833,O
1992,Nigeria,8.675277,9.081999,G
1992,South Africa,22.937506,-30.559482,G
1992,Cuba,-77.781167,21.521757,G
1992,Panama,-80.782127,8.537981,S
1992,Slovenia,14.995463,46.151241,G
1992,Argentina,-63.616672,-38.416097,G
1992,Serbia,21.005859,44.016521,G
1992,Algeria,1.659626,28.033886,O
1992,Dominican Republic,-70.162651,18.735693,O
1992,Côte Ivoire,-5.54708,7.539989,O
1992,Belarus,27.953389,53.709807,O
1992,Ukraine,31.16558,48.379433,O
1992,Greece,21.824312,39.074208,S
1992,Estonia,25.013607,58.595272,S
1992,Lithuania,23.881275,55.169438,S
1992,Zimbabwe,29.154857,-19.015438,O
1992,Thailand,100.992541,15.870032,B
1992,Tunisia,9.537499,33.886917,O
1992,Chinese Taipei,120.960515,23.69781,O
1992,Angola,17.873887,-11.202692,O
1992,Morocco,-7.09262,31.791702,O
1992,Azerbaijan,47.576927,40.143105,O
1992,Latvia,24.603189,56.879635,O
1992,India,78.96288,20.593684,O
1992,Botswana,24.684866,-22.328474,O
1992,Saudi Arabia,45.079162,23.885942,O
1992,Croatia,15.2,45.1,B
1992,Chile,-71.542969,-35.675147,O
1992,Fiji,179.414413,-16.578193,O
1992,Namibia,18.49041,-22.95764,O
1992,Malaysia,101.975766,4.210484,B
